地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
福鼎市,350982.0,福鼎市,350982.0,县级市,宁德市,350900.0,地级市,福建省,350000.0,省,,,Fuding,Fú Dǐng,350982.0,Fuding,FúDǐng,350982.0,,Ningde,,350900.0,,Fujian,Fú Jiàn,350000.0,Province,2015.0,0
福贡县,533323.0,福贡县,533323.0,县,怒江傈僳族自治州,533300.0,自治州,云南省,530000.0,省,,,Fugong,Fú Gòng,533323.0,Fugong,FúGòng,533323.0,,Nujianglisuzu,Nù Jiāng Lì Sù Zú,533300.0,,Yunnan,,530000.0,Province,2015.0,0
福海县,654323.0,福海县,654323.0,县,阿勒泰地区,654300.0,地区,新疆维吾尔自治区,650000.0,自治区,,,Fuhai,Fú Hǎi,654323.0,Fuhai,FúHǎi,654323.0,,Aletai,,654300.0,Prefecture,Xinjiang,Xīn Jiāng,650000.0,,2015.0,0
福绵区,450903.0,福绵区,450903.0,市辖区,玉林市,450900.0,地级市,广西壮族自治区,450000.0,自治区,,,Fumian,Fú Mián,450903.0,Fumian,FúMián,450903.0,,Yulin,Yù Lín,450900.0,,Guangxi,,450000.0,,2015.0,0
福清市,350181.0,福清市,350181.0,县级市,福州市,350100.0,地级市,福建省,350000.0,省,,,Fuqing,Fú Qīng,350181.0,Fuqing,FúQīng,350181.0,,Fuzhou,Fú Zhōu,350100.0,,Fujian,Fú Jiàn,350000.0,Province,2015.0,0
福泉市,522702.0,福泉市,522702.0,县级市,黔南布依族苗族自治州,522700.0,自治州,贵州省,520000.0,省,,,Fuquan,Fú Quán,522702.0,Fuquan,FúQuán,522702.0,,Qiannanbuyizumiaozu,,522700.0,,Guizhou,Guì Zhōu,520000.0,Province,2015.0,0
福山区,370611.0,福山区,370611.0,市辖区,烟台市,370600.0,地级市,山东省,370000.0,省,,,Fushan,Fú Shān,370611.0,Fushan,FúShān,370611.0,,Yantai,,370600.0,,Shandong,Shān Dōng,370000.0,Province,2015.0,0
福田区,440304.0,福田区,440304.0,市辖区,深圳市,440300.0,地级市,广东省,440000.0,省,,,Futian,Fú Tián,440304.0,Futian,FúTián,440304.0,,Shenzhen,Shēn Zhèn,440300.0,,Guangdong,,440000.0,Province,2015.0,0
抚宁区,130306.0,抚宁区,130306.0,市辖区,秦皇岛市,130300.0,地级市,河北省,130000.0,省,抚宁县,2015年撤销抚宁县，设立抚宁区,Funing,,130306.0,Funing,,130306.0,,Qinhuangdao,Qín Huáng Dǎo,130300.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
抚顺县,210421.0,抚顺县,210421.0,县,抚顺市,210400.0,地级市,辽宁省,210000.0,省,,,Fushun,Fǔ Shùn,210421.0,Fushun,FǔShùn,210421.0,,Fushun,Fǔ Shùn,210400.0,,Liaoning,,210000.0,Province,2015.0,0
