地名,year,fire_count,frp_sum,frp_mean
三穗县,2017,2,14.799999,7.3999996
三穗县,2018,2,17.7,8.85
三穗县,2019,3,25.3,8.433333
三都水族自治县,2010,47,862.1,18.342552
三都水族自治县,2011,39,691.1,17.720512
三都水族自治县,2012,14,141.1,10.078572
三都水族自治县,2013,46,715.8,15.560869
三都水族自治县,2014,32,453.2,14.1625
三都水族自治县,2015,25,266.2,10.648001
三都水族自治县,2016,22,377.2,17.145454
三都水族自治县,2017,4,46.5,11.625
三都水族自治县,2018,15,375.90002,25.060001
三都水族自治县,2019,2,15.9,7.95
三门县,2010,8,80.4,10.05
三门县,2011,13,133.9,10.299999
三门县,2012,12,122.2,10.183333
三门县,2013,12,100.3,8.358334
三门县,2014,6,66.3,11.05
三门县,2015,8,84.8,10.6
三门县,2016,10,110.5,11.05
三门县,2017,24,214.7,8.945833
三门县,2018,13,118.2,9.092307
三门县,2019,8,72.1,9.0125
上思县,2010,131,3094.6,23.622902
上思县,2011,98,2381.7,24.30306
上思县,2012,35,636.3,18.18
上思县,2013,65,1227.5,18.884615
上思县,2014,89,1505.9,16.920225
上思县,2015,124,2782.0,22.435484
上思县,2016,81,1314.3,16.225927
上思县,2017,52,872.8,16.784615
上思县,2018,49,745.8,15.2204075
上思县,2019,57,906.1,15.896491
上杭县,2010,29,587.4,20.255173
上杭县,2011,57,1731.7001,30.380703
上杭县,2012,9,150.5,16.722221
上杭县,2013,20,366.5,18.325
上杭县,2014,44,982.1,22.320454
上杭县,2015,19,473.7,24.93158
上杭县,2016,9,111.9,12.433333
上杭县,2017,22,821.7,37.350002
上杭县,2018,13,127.8,9.83077
上杭县,2019,27,319.6,11.837037
上林县,2010,33,503.9,15.269697
上林县,2011,61,1264.3,20.72623
上林县,2012,36,533.2,14.811111
上林县,2013,67,1105.5,16.5
上林县,2014,47,672.0,14.297873
上林县,2015,26,363.4,13.976923
上林县,2016,24,276.3,11.5125
上林县,2017,22,206.8,9.400001
上林县,2018,27,387.9,14.366667
上林县,2019,27,302.9,11.218518
上栗县,2010,14,232.7,16.621428
上栗县,2011,20,266.5,13.325
上栗县,2012,28,544.0,19.428572
上栗县,2013,10,88.4,8.84
上栗县,2014,38,544.1,14.31842
上栗县,2015,8,114.0,14.25
上栗县,2016,21,355.8,16.942856
上栗县,2017,11,154.4,14.036363
上栗县,2018,2,20.0,10.0
上栗县,2019,9,83.7,9.299999
上犹县,2010,24,756.1,31.504166
上犹县,2011,15,596.7,39.780003
上犹县,2012,14,569.4,40.67143
上犹县,2013,22,637.6,28.981817
上犹县,2014,39,895.6,22.964102
上犹县,2015,55,1549.0,28.163637
上犹县,2016,49,1327.2,27.085712
上犹县,2017,28,548.1,19.574999
上犹县,2018,35,613.6,17.531427
上犹县,2019,17,281.6,16.564707
上甘岭区,2012,3,22.5,7.5
上甘岭区,2014,4,38.3,9.575
上甘岭区,2015,5,40.6,8.12
上甘岭区,2016,2,19.1,9.55
上甘岭区,2017,4,39.3,9.825
上甘岭区,2018,2,13.7,6.85
上甘岭区,2019,4,36.4,9.1
上蔡县,2010,62,1414.4,22.812904
上蔡县,2011,138,6249.3,45.284782
上蔡县,2012,148,4735.4,31.995945
