县名,年份,火点数量,农业焚烧数量,农业焚烧比例
三门县,2018,13,0,0.0
三门县,2019,8,0,0.0
上思县,2010,131,0,0.0
上思县,2011,98,0,0.0
上思县,2012,35,0,0.0
上思县,2013,65,0,0.0
上思县,2014,89,0,0.0
上思县,2015,124,0,0.0
上思县,2016,81,0,0.0
上思县,2017,52,0,0.0
上思县,2018,49,0,0.0
上思县,2019,57,0,0.0
上杭县,2010,29,0,0.0
上杭县,2011,57,0,0.0
上杭县,2012,9,0,0.0
上杭县,2013,20,0,0.0
上杭县,2014,44,0,0.0
上杭县,2015,19,0,0.0
上杭县,2016,9,0,0.0
上杭县,2017,22,0,0.0
上杭县,2018,13,0,0.0
上杭县,2019,27,0,0.0
上林县,2010,33,0,0.0
上林县,2011,61,0,0.0
上林县,2012,36,0,0.0
上林县,2013,67,0,0.0
上林县,2014,47,0,0.0
上林县,2015,26,0,0.0
上林县,2016,24,0,0.0
上林县,2017,22,0,0.0
上林县,2018,27,0,0.0
上林县,2019,27,0,0.0
上栗县,2010,14,0,0.0
上栗县,2011,20,0,0.0
上栗县,2012,28,0,0.0
上栗县,2013,10,0,0.0
上栗县,2014,38,0,0.0
上栗县,2015,8,0,0.0
上栗县,2016,21,0,0.0
上栗县,2017,11,0,0.0
上栗县,2018,2,0,0.0
上栗县,2019,9,0,0.0
上犹县,2010,24,0,0.0
上犹县,2011,15,0,0.0
上犹县,2012,14,0,0.0
上犹县,2013,22,0,0.0
上犹县,2014,39,0,0.0
上犹县,2015,55,0,0.0
上犹县,2016,49,0,0.0
上犹县,2017,28,0,0.0
上犹县,2018,35,0,0.0
上犹县,2019,17,0,0.0
上甘岭区,2012,3,0,0.0
上甘岭区,2014,4,0,0.0
上甘岭区,2015,5,0,0.0
上甘岭区,2016,2,0,0.0
上甘岭区,2017,4,0,0.0
上甘岭区,2018,2,0,0.0
上甘岭区,2019,4,0,0.0
上蔡县,2010,62,0,0.0
上蔡县,2011,138,0,0.0
上蔡县,2012,148,0,0.0
上蔡县,2013,116,0,0.0
