code,fire_count,season
230184.0,779,Spring
230202.0,54,Spring
230203.0,31,Spring
230204.0,663,Spring
230205.0,528,Spring
230206.0,271,Spring
230207.0,75,Spring
230208.0,893,Spring
230221.0,2515,Spring
230223.0,2653,Spring
230224.0,2004,Spring
230225.0,2731,Spring
230227.0,4059,Spring
230229.0,1612,Spring
230230.0,1051,Spring
230231.0,495,Spring
230281.0,3783,Spring
230302.0,25,Spring
230303.0,48,Spring
230304.0,28,Spring
230305.0,9,Spring
230306.0,26,Spring
230307.0,15,Spring
230321.0,593,Spring
230381.0,1750,Spring
230382.0,1665,Spring
230403.0,1,Spring
230404.0,4,Spring
230405.0,61,Spring
230406.0,503,Spring
230421.0,2650,Spring
230422.0,813,Spring
230502.0,58,Spring
230503.0,79,Spring
230505.0,99,Spring
230506.0,181,Spring
230521.0,768,Spring
230522.0,360,Spring
230523.0,2184,Spring
230524.0,1937,Spring
230602.0,143,Spring
230603.0,118,Spring
230604.0,740,Spring
230605.0,154,Spring
230606.0,328,Spring
230621.0,668,Spring
230622.0,2040,Spring
230623.0,2345,Spring
230624.0,1432,Spring
230702.0,20,Spring
230703.0,19,Spring
230705.0,8,Spring
230706.0,10,Spring
230707.0,23,Spring
230708.0,26,Spring
230709.0,14,Spring
230710.0,13,Spring
230711.0,6,Spring
230712.0,5,Spring
230713.0,6,Spring
230714.0,6,Spring
230715.0,1,Spring
230716.0,8,Spring
230719.0,26,Spring
230722.0,775,Spring
230781.0,199,Spring
230803.0,25,Spring
230804.0,7,Spring
230805.0,17,Spring
230811.0,719,Spring
230822.0,816,Spring
230826.0,646,Spring
230828.0,1224,Spring
230881.0,929,Spring
230882.0,2297,Spring
230883.0,838,Spring
230902.0,611,Spring
230903.0,26,Spring
230904.0,479,Spring
230921.0,365,Spring
231002.0,46,Spring
231003.0,70,Spring
231004.0,25,Spring
231005.0,48,Spring
231025.0,453,Spring
231081.0,13,Spring
231083.0,316,Spring
231084.0,804,Spring
231085.0,177,Spring
231086.0,180,Spring
231102.0,2077,Spring
231121.0,4115,Spring
231123.0,2288,Spring
231124.0,1386,Spring
231181.0,2933,Spring
231182.0,3518,Spring
231202.0,1273,Spring
231221.0,1148,Spring
231222.0,1072,Spring
231223.0,1645,Spring
231224.0,1058,Spring
231225.0,1523,Spring
231226.0,511,Spring
231281.0,1326,Spring
231282.0,1942,Spring
231283.0,903,Spring
232721.0,117,Spring
232722.0,86,Spring
232723.0,66,Spring
310104.0,1,Spring
310106.0,1,Spring
310107.0,8,Spring
310112.0,26,Spring
310113.0,56,Spring
310114.0,99,Spring
310115.0,198,Spring
310116.0,177,Spring
310117.0,126,Spring
310118.0,143,Spring
310120.0,267,Spring
310230.0,59,Spring
320104.0,1,Spring
320105.0,1,Spring
320106.0,1,Spring
320111.0,97,Spring
320113.0,28,Spring
320114.0,17,Spring
320115.0,153,Spring
320116.0,136,Spring
320117.0,51,Spring
320118.0,21,Spring
320205.0,84,Spring
320206.0,58,Spring
320211.0,12,Spring
320213.0,1,Spring
320214.0,19,Spring
320281.0,324,Spring
320282.0,183,Spring
320302.0,21,Spring
320303.0,11,Spring
320305.0,67,Spring
320311.0,6,Spring
320312.0,188,Spring
320321.0,45,Spring
320322.0,99,Spring
320324.0,127,Spring
320381.0,74,Spring
320382.0,168,Spring
320402.0,16,Spring
320404.0,9,Spring
320411.0,73,Spring
320412.0,108,Spring
320413.0,46,Spring
320481.0,271,Spring
320505.0,3,Spring
320506.0,9,Spring
320507.0,41,Spring
320508.0,4,Spring
320509.0,68,Spring
320581.0,210,Spring
320582.0,256,Spring
320583.0,129,Spring
320585.0,134,Spring
320602.0,19,Spring
320611.0,27,Spring
320612.0,133,Spring
320621.0,145,Spring
320623.0,92,Spring
320681.0,69,Spring
320682.0,156,Spring
320684.0,106,Spring
320703.0,26,Spring
320706.0,131,Spring
320707.0,45,Spring
320722.0,63,Spring
320723.0,27,Spring
320724.0,50,Spring
320802.0,35,Spring
320803.0,56,Spring
320804.0,72,Spring
320811.0,11,Spring
320826.0,62,Spring
320829.0,28,Spring
320830.0,55,Spring
320831.0,28,Spring
320902.0,145,Spring
320903.0,81,Spring
320904.0,103,Spring
320921.0,86,Spring
320922.0,88,Spring
320923.0,100,Spring
320924.0,126,Spring
320925.0,135,Spring
320981.0,201,Spring
321002.0,7,Spring
321003.0,119,Spring
321012.0,116,Spring
321023.0,105,Spring
321081.0,77,Spring
321084.0,151,Spring
321102.0,39,Spring
321111.0,1,Spring
321112.0,33,Spring
321181.0,44,Spring
321182.0,8,Spring
321183.0,75,Spring
321202.0,69,Spring
321203.0,32,Spring
321204.0,148,Spring
321281.0,177,Spring
321282.0,77,Spring
321283.0,130,Spring
321302.0,199,Spring
321311.0,229,Spring
321322.0,183,Spring
321323.0,371,Spring
321324.0,148,Spring
330103.0,2,Spring
330104.0,57,Spring
330105.0,3,Spring
330106.0,5,Spring
330109.0,289,Spring
330110.0,154,Spring
330111.0,83,Spring
330122.0,36,Spring
330127.0,37,Spring
330182.0,78,Spring
330185.0,322,Spring
330204.0,8,Spring
330205.0,12,Spring
330206.0,77,Spring
330211.0,40,Spring
330212.0,113,Spring
330225.0,36,Spring
330226.0,80,Spring
330281.0,108,Spring
330282.0,134,Spring
330283.0,230,Spring
330302.0,4,Spring
330303.0,7,Spring
330304.0,23,Spring
330305.0,1,Spring
330324.0,124,Spring
330326.0,116,Spring
330327.0,118,Spring
330328.0,115,Spring
330329.0,111,Spring
330381.0,101,Spring
330382.0,65,Spring
330402.0,45,Spring
330411.0,111,Spring
330421.0,50,Spring
330424.0,30,Spring
330481.0,172,Spring
330482.0,60,Spring
330483.0,149,Spring
330502.0,127,Spring
330503.0,91,Spring
330521.0,115,Spring
330522.0,177,Spring
330523.0,130,Spring
330602.0,12,Spring
330603.0,66,Spring
330604.0,64,Spring
330624.0,76,Spring
330681.0,168,Spring
330683.0,88,Spring
330702.0,66,Spring
330703.0,73,Spring
330723.0,108,Spring
330726.0,30,Spring
330727.0,44,Spring
330781.0,86,Spring
330782.0,44,Spring
330783.0,82,Spring
330784.0,72,Spring
330802.0,110,Spring
330803.0,31,Spring
330822.0,100,Spring
330824.0,137,Spring
330825.0,114,Spring
330881.0,45,Spring
330902.0,26,Spring
330903.0,3,Spring
330921.0,3,Spring
331002.0,14,Spring
331003.0,45,Spring
331004.0,26,Spring
331021.0,22,Spring
331022.0,44,Spring
331023.0,64,Spring
331024.0,44,Spring
331081.0,27,Spring
331082.0,59,Spring
331102.0,79,Spring
331121.0,213,Spring
331122.0,98,Spring
331123.0,57,Spring
331124.0,68,Spring
331125.0,39,Spring
331126.0,54,Spring
331127.0,77,Spring
331181.0,221,Spring
340102.0,37,Spring
340103.0,25,Spring
340104.0,55,Spring
340111.0,34,Spring
340121.0,108,Spring
340122.0,103,Spring
340123.0,85,Spring
340124.0,142,Spring
340181.0,61,Spring
340202.0,7,Spring
340203.0,9,Spring
340207.0,271,Spring
340208.0,157,Spring
340221.0,23,Spring
340222.0,242,Spring
340223.0,78,Spring
340225.0,42,Spring
340302.0,7,Spring
340303.0,14,Spring
340304.0,4,Spring
340311.0,37,Spring
340321.0,12,Spring
340322.0,27,Spring
340323.0,37,Spring
340402.0,10,Spring
340403.0,5,Spring
340404.0,3,Spring
340406.0,10,Spring
340421.0,30,Spring
340422.0,25,Spring
340503.0,47,Spring
340504.0,125,Spring
340506.0,62,Spring
340521.0,40,Spring
340522.0,130,Spring
340523.0,46,Spring
340602.0,21,Spring
340603.0,32,Spring
340604.0,22,Spring
340621.0,110,Spring
340705.0,7,Spring
340706.0,83,Spring
340711.0,72,Spring
340722.0,110,Spring
340802.0,5,Spring
340803.0,9,Spring
340811.0,22,Spring
340822.0,103,Spring
340824.0,43,Spring
340825.0,172,Spring
340826.0,115,Spring
340827.0,33,Spring
340828.0,71,Spring
340881.0,85,Spring
341002.0,17,Spring
341003.0,49,Spring
341004.0,34,Spring
341021.0,123,Spring
341022.0,67,Spring
341023.0,16,Spring
341024.0,189,Spring
341102.0,45,Spring
341103.0,51,Spring
341122.0,133,Spring
341124.0,24,Spring
341125.0,27,Spring
341126.0,124,Spring
341181.0,56,Spring
341182.0,39,Spring
341202.0,49,Spring
341203.0,20,Spring
341204.0,9,Spring
341221.0,27,Spring
341222.0,64,Spring
341225.0,34,Spring
341226.0,29,Spring
341282.0,133,Spring
341302.0,60,Spring
341321.0,17,Spring
341322.0,75,Spring
341323.0,17,Spring
341324.0,32,Spring
341502.0,52,Spring
341503.0,61,Spring
341504.0,32,Spring
341522.0,26,Spring
341523.0,66,Spring
341524.0,48,Spring
341525.0,31,Spring
341602.0,26,Spring
341621.0,38,Spring
341622.0,23,Spring
341623.0,31,Spring
341702.0,235,Spring
341721.0,312,Spring
341722.0,28,Spring
341723.0,96,Spring
341802.0,185,Spring
341821.0,86,Spring
341822.0,116,Spring
341823.0,218,Spring
341824.0,76,Spring
341825.0,34,Spring
341881.0,153,Spring
350104.0,3,Spring
350105.0,32,Spring
350111.0,10,Spring
350121.0,63,Spring
350122.0,122,Spring
350123.0,136,Spring
350124.0,61,Spring
350125.0,119,Spring
350128.0,9,Spring
350181.0,50,Spring
350182.0,30,Spring
350205.0,10,Spring
350211.0,5,Spring
350212.0,14,Spring
350213.0,16,Spring
350302.0,16,Spring
350303.0,14,Spring
350304.0,16,Spring
350305.0,7,Spring
350322.0,176,Spring
350402.0,40,Spring
350403.0,35,Spring
350421.0,58,Spring
350423.0,85,Spring
350424.0,105,Spring
350425.0,76,Spring
350426.0,204,Spring
350427.0,110,Spring
350428.0,92,Spring
350429.0,72,Spring
350430.0,164,Spring
350481.0,72,Spring
350502.0,9,Spring
350503.0,5,Spring
350504.0,23,Spring
350505.0,19,Spring
350521.0,27,Spring
350524.0,64,Spring
350525.0,61,Spring
350526.0,18,Spring
350581.0,3,Spring
350582.0,45,Spring
350583.0,153,Spring
350602.0,4,Spring
350603.0,5,Spring
350622.0,94,Spring
350623.0,145,Spring
350624.0,122,Spring
350625.0,83,Spring
350626.0,7,Spring
350627.0,64,Spring
350628.0,115,Spring
350629.0,52,Spring
350681.0,125,Spring
350702.0,254,Spring
350703.0,209,Spring
350721.0,82,Spring
350722.0,248,Spring
350723.0,306,Spring
350724.0,27,Spring
350725.0,40,Spring
350781.0,191,Spring
350782.0,73,Spring
350783.0,271,Spring
350802.0,49,Spring
350803.0,39,Spring
350821.0,116,Spring
350823.0,85,Spring
350824.0,78,Spring
350825.0,79,Spring
350881.0,54,Spring
350902.0,58,Spring
350921.0,79,Spring
350922.0,171,Spring
350923.0,64,Spring
350924.0,135,Spring
350925.0,49,Spring
350926.0,28,Spring
350981.0,87,Spring
350982.0,130,Spring
360104.0,1,Spring
360105.0,3,Spring
360111.0,16,Spring
360112.0,57,Spring
360121.0,52,Spring
360123.0,56,Spring
360124.0,62,Spring
360202.0,41,Spring
360203.0,2,Spring
360222.0,173,Spring
360281.0,108,Spring
360302.0,21,Spring
360313.0,87,Spring
360321.0,92,Spring
360322.0,59,Spring
360323.0,34,Spring
360402.0,9,Spring
360421.0,43,Spring
360423.0,69,Spring
360424.0,169,Spring
360425.0,48,Spring
360426.0,61,Spring
360427.0,29,Spring
360428.0,59,Spring
360429.0,31,Spring
360430.0,66,Spring
360481.0,45,Spring
360482.0,18,Spring
360502.0,77,Spring
360521.0,148,Spring
360602.0,9,Spring
360622.0,64,Spring
360681.0,102,Spring
360702.0,19,Spring
360703.0,97,Spring
360721.0,158,Spring
360722.0,113,Spring
360723.0,99,Spring
360724.0,50,Spring
360725.0,118,Spring
360726.0,211,Spring
360728.0,159,Spring
360729.0,129,Spring
360730.0,363,Spring
360731.0,300,Spring
360732.0,134,Spring
360733.0,70,Spring
360734.0,45,Spring
360735.0,93,Spring
360781.0,196,Spring
360783.0,98,Spring
360802.0,5,Spring
360803.0,5,Spring
360821.0,156,Spring
360822.0,51,Spring
360823.0,47,Spring
360824.0,53,Spring
360825.0,138,Spring
360826.0,93,Spring
360827.0,205,Spring
360828.0,86,Spring
360829.0,230,Spring
360830.0,164,Spring
360881.0,65,Spring
360902.0,95,Spring
360921.0,43,Spring
360922.0,84,Spring
360923.0,35,Spring
360924.0,142,Spring
360925.0,41,Spring
360926.0,76,Spring
360981.0,50,Spring
360982.0,23,Spring
360983.0,48,Spring
361002.0,162,Spring
361021.0,82,Spring
361022.0,175,Spring
361023.0,138,Spring
361024.0,155,Spring
361025.0,122,Spring
361026.0,97,Spring
361027.0,68,Spring
361028.0,87,Spring
361029.0,126,Spring
361030.0,56,Spring
361102.0,8,Spring
361103.0,55,Spring
361104.0,172,Spring
361123.0,21,Spring
361124.0,55,Spring
361125.0,28,Spring
361126.0,43,Spring
361127.0,79,Spring
361128.0,135,Spring
361129.0,57,Spring
361130.0,64,Spring
361181.0,75,Spring
370102.0,10,Spring
370103.0,37,Spring
370104.0,15,Spring
370105.0,85,Spring
370112.0,218,Spring
370113.0,55,Spring
370124.0,22,Spring
370125.0,140,Spring
370126.0,79,Spring
370181.0,239,Spring
370211.0,132,Spring
370212.0,29,Spring
370213.0,24,Spring
370214.0,41,Spring
370281.0,362,Spring
370282.0,108,Spring
370283.0,215,Spring
370285.0,95,Spring
370302.0,110,Spring
370303.0,63,Spring
370304.0,30,Spring
370305.0,36,Spring
370306.0,11,Spring
370321.0,45,Spring
370322.0,32,Spring
370323.0,31,Spring
370402.0,47,Spring
370403.0,54,Spring
370404.0,85,Spring
370405.0,6,Spring
370406.0,54,Spring
370481.0,131,Spring
370502.0,99,Spring
370503.0,395,Spring
370521.0,565,Spring
370522.0,118,Spring
370523.0,164,Spring
370602.0,31,Spring
370611.0,61,Spring
370612.0,117,Spring
370613.0,43,Spring
370681.0,116,Spring
370682.0,85,Spring
370683.0,214,Spring
370684.0,134,Spring
370685.0,176,Spring
370686.0,241,Spring
370687.0,333,Spring
370702.0,56,Spring
370703.0,43,Spring
370704.0,27,Spring
370705.0,34,Spring
370724.0,107,Spring
370725.0,115,Spring
370781.0,214,Spring
370782.0,200,Spring
370783.0,243,Spring
370784.0,101,Spring
370785.0,109,Spring
370786.0,116,Spring
370811.0,74,Spring
370812.0,255,Spring
370826.0,39,Spring
370827.0,21,Spring
370828.0,128,Spring
370829.0,62,Spring
370830.0,114,Spring
370831.0,76,Spring
370832.0,92,Spring
370881.0,90,Spring
370883.0,107,Spring
370902.0,60,Spring
370911.0,185,Spring
370921.0,87,Spring
370923.0,26,Spring
370982.0,107,Spring
370983.0,77,Spring
371002.0,85,Spring
371003.0,108,Spring
371082.0,73,Spring
371083.0,223,Spring
371102.0,32,Spring
371103.0,68,Spring
371121.0,116,Spring
371122.0,68,Spring
371202.0,305,Spring
371203.0,63,Spring
371302.0,391,Spring
371311.0,201,Spring
371312.0,75,Spring
371321.0,76,Spring
