date,pm25_mean,pm25_max,pm25_std,pm25_count,fire_count,brightness_mean,brightness_max,confidence_mean
2014-10-27,31.875086837545343,101.62564096047764,12.179686022490728,8982,973,307.3384378211716,355.6,52.32168550873587
2014-10-28,59.362422154255256,256.59851747822137,38.45705315894031,8982,900,305.71855555555555,375.8,47.48555555555556
2014-10-29,96.71513783889985,442.3791512532462,61.57734831337006,8982,1179,306.72001696352845,372.0,49.808312128922815
2014-11-03,28.05178235686398,137.11255948311378,10.008660534461786,8982,793,307.32269861286255,351.1,52.58007566204287
2014-11-04,48.667559062045804,302.77926750071543,27.758345702934797,8982,541,305.97190388170054,353.9,48.79297597042514
2014-11-05,48.566354669747014,154.02925211348403,27.491040075849497,8982,565,306.7116814159292,368.1,52.81238938053097
2014-11-06,25.726515776846956,123.50301012047132,8.999412993000481,8982,404,307.7740099009901,360.3,53.84405940594059
2014-11-07,34.49353619388576,175.33265454076113,15.178608054404277,8982,339,308.9657817109144,361.3,55.825958702064895
2014-11-08,47.62234102042062,208.58226902578085,28.840308290407066,8982,1074,307.77830540037246,361.7,53.61173184357542
2014-11-09,61.388526583490034,316.20540039644106,42.084636307352426,8982,342,307.21520467836257,350.1,54.72222222222222
2014-11-10,68.5154524475333,277.7438325807757,46.84202630616977,8982,1747,307.81482541499713,365.7,52.99484831139095
2014-11-19,72.62216275036151,227.69498534474573,27.639900674638,8982,426,308.62981220657275,356.0,54.347417840375584
2015-03-20,27.551897973654132,61.830758532056,5.571267177320722,8982,317,307.68517350157725,352.5,51.82018927444795
2015-03-21,27.391175893330605,83.65944501159484,7.022318487681123,8982,565,310.08477876106195,375.0,55.03008849557522
2015-03-23,27.574911118258633,60.36570560280972,4.569045337360608,8982,817,307.3657282741738,388.7,52.354957160342714
2015-03-25,53.009712207568995,106.19099153310108,9.91325410699073,8982,1104,311.64202898550724,392.9,58.70199275362319
2015-03-26,61.0549030958148,121.96940052720528,13.077322888371448,8982,492,312.6920731707317,363.7,57.27439024390244
2015-03-29,45.01511115033074,94.05468981528014,17.316484417116577,8982,327,309.211620795107,357.4,56.305810397553515
2015-03-31,30.256981886854167,70.96127696694154,11.079559433791104,8982,702,309.4317663817664,385.0,55.63960113960114
2015-04-01,38.81977384281452,112.7609740456298,12.828665408457196,8982,1739,311.83858539390457,395.2,58.66187464059804
2015-04-03,42.75404140226796,116.38303187753031,17.30860810259849,8982,546,310.6203296703297,383.0,58.83516483516483
2015-04-12,31.70546458932544,70.68552776263247,9.716575060853762,8982,676,311.32011834319525,388.3,57.73372781065089
2015-04-13,41.70408307496621,100.69291435374048,11.11198919624864,8982,466,314.29957081545064,424.7,59.17381974248927
2015-04-14,56.77151175728749,152.6016709559068,17.86643550074318,8982,1993,314.57471149021575,390.7,60.421475163070745
2015-04-15,64.10376944001285,132.19866313766997,16.064754360224725,8982,1450,315.27393103448276,375.7,58.75793103448276
2015-04-19,40.87542398675363,85.57560900682087,12.307014097727311,8982,779,315.83042362002567,384.7,62.291399229781774
2015-04-24,23.413455956839794,45.909523713040656,3.7684657248190283,8982,521,317.45335892514396,393.0,63.46257197696737
2015-04-25,33.62274093110141,87.10018026888491,9.884262109541842,8982,537,316.540782122905,360.2,65.0707635009311
2015-04-26,43.25488663947392,104.4069347105685,16.962112626297007,8982,1479,324.84131169709264,428.4,66.89655172413794
2015-04-27,41.84096726659185,91.41903700270242,14.187604840317897,8982,373,313.51394101876673,364.8,58.75603217158177
2015-04-28,44.48872982264315,89.99001886385535,12.580293936911861,8982,949,322.4239199157007,413.4,65.67439409905164
2015-04-30,39.52893394561023,76.07156757564479,9.644509535126556,8982,436,317.375,385.6,63.022935779816514
